SNAPSHOT_TIME;HOST;PORT;SESS_NUM;TOTAL_TH;WAIT_TH;BUSY_TH;SQL_WAIT_TH;SQL_BUSY_TH;JOB_WAIT_TH;JOB_BUSY_TH;REQ_WAIT_TH;REQ_BUSY_TH;OTH_WAIT_TH;OTH_BUSY_TH;SQL_WAIT_TH_S;SQL_BUSY_TH_S;JOB_WAIT_TH_S;JOB_BUSY_TH_S;REQ_WAIT_TH_S;REQ_BUSY_TH_S;OTH_WAIT_TH_S;OTH_BUSY_TH_S
2021/08/30 00:10:00;s4hd1prd;30.103;      1;     19;      3;     16;      1;      0;      2;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 01:08:00;s4hd1prd;30.103;      1;      2;      1;      1;      1;      0;      0;      1;      0;      0;      0;      0;   1.00;   0.00;   0.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 01:22:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 01:34:00;s4hd1prd;30.103;      2;     39;      7;     32;      2;      0;      5;     32;      0;      0;      0;      0;   1.00;   0.00;   2.50;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 01:40:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 01:44:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 01:52:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 03:10:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 03:22:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 03:56:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 04:02:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 04:16:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 04:42:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 04:56:00;s4hd1prd;30.103;      1;      2;      1;      1;      1;      0;      0;      1;      0;      0;      0;      0;   1.00;   0.00;   0.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 04:58:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:00:00;s4hd1prd;30.103;      2;     22;      5;     17;      2;      0;      3;     17;      0;      0;      0;      0;   1.00;   0.00;   3.00;  12.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:04:00;s4hd1prd;30.103;      2;     32;      6;     26;      2;      0;      4;     26;      0;      0;      0;      0;   1.00;   0.00;   3.00;  14.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:08:00;s4hd1prd;30.103;      1;     19;      3;     16;      1;      0;      2;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:10:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   2.50;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:20:00;s4hd1prd;30.103;      1;      2;      1;      1;      1;      0;      0;      1;      0;      0;      0;      0;   1.00;   0.00;   0.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:26:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.66;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:28:00;s4hd1prd;30.103;      2;     25;      7;     18;      2;      0;      5;     18;      0;      0;      0;      0;   1.00;   0.00;   2.75;  12.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:32:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 05:38:00;s4hd1prd;30.103;      1;      2;      1;      1;      1;      0;      0;      1;      0;      0;      0;      0;   1.00;   0.00;   0.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:02:00;s4hd1prd;30.103;      1;      5;      3;      2;      1;      0;      2;      2;      0;      0;      0;      0;   1.00;   0.00;   2.00;   2.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:04:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:06:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:10:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:12:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   2.50;   9.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:24:00;s4hd1prd;30.103;      3;     42;      9;     33;      3;      0;      6;     33;      0;      0;      0;      0;   1.00;   0.00;   3.00;  11.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:26:00;s4hd1prd;30.103;      2;     30;      8;     22;      2;      0;      6;     22;      0;      0;      0;      0;   1.00;   0.00;   2.87;   7.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:28:00;s4hd1prd;30.103;      2;     22;      5;     17;      2;      0;      3;     17;      0;      0;      0;      0;   1.00;   0.00;   2.50;   5.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:30:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:32:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   2.50;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:34:00;s4hd1prd;30.103;      2;     21;      5;     16;      2;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   1.50;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:36:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   2.33;   6.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:40:00;s4hd1prd;30.103;      2;     22;      5;     17;      2;      0;      3;     17;      0;      0;      0;      0;   1.00;   0.00;   3.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:42:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:44:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:46:00;s4hd1prd;30.103;      2;     40;      8;     32;      2;      0;      6;     32;      0;      0;      0;      0;   1.00;   0.00;   2.00;  12.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:48:00;s4hd1prd;30.103;      1;     11;      3;      8;      1;      0;      2;      8;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:50:00;s4hd1prd;30.103;      2;      7;      4;      3;      2;      0;      2;      3;      0;      0;      0;      0;   1.00;   0.00;   2.00;   1.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:52:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:54:00;s4hd1prd;30.103;      2;     24;      7;     17;      2;      0;      5;     17;      0;      0;      0;      0;   1.00;   0.00;   1.25;   4.75;   0.00;   0.00;   0.00;   0.00
2021/08/30 06:58:00;s4hd1prd;30.103;      1;      3;      2;      1;      1;      0;      1;      1;      0;      0;      0;      0;   1.00;   0.00;   1.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:00:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.50;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:02:00;s4hd1prd;30.103;      3;     24;      7;     18;      3;      0;      5;     18;      0;      0;      0;      0;   1.00;   0.00;   2.50;  10.16;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:04:00;s4hd1prd;30.103;      2;     26;      8;     18;      2;      0;      6;     18;      0;      0;      0;      0;   1.00;   0.00;   3.00;  12.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:06:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:10:00;s4hd1prd;30.103;      3;     43;     10;     33;      3;      0;      7;     33;      0;      0;      0;      0;   1.00;   0.00;   2.75;   6.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:12:00;s4hd1prd;30.103;      2;     23;      6;     17;      2;      0;      4;     17;      0;      0;      0;      0;   1.00;   0.00;   2.50;  12.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:14:00;s4hd1prd;30.103;      4;     75;     18;     57;      4;      0;     14;     57;      0;      0;      0;      0;   1.00;   0.00;   3.50;  15.12;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:16:00;s4hd1prd;30.103;      2;     25;      8;     17;      2;      0;      6;     17;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:18:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:20:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:22:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:26:00;s4hd1prd;30.103;      2;     24;      8;     17;      2;      0;      7;     17;      0;      0;      0;      0;   1.00;   0.00;   4.50;   7.66;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:28:00;s4hd1prd;30.103;      2;     34;      6;     28;      2;      0;      4;     28;      0;      0;      0;      0;   1.00;   0.00;   2.00;  14.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:30:00;s4hd1prd;30.103;      3;     50;     12;     38;      3;      0;      9;     38;      0;      0;      0;      0;   1.00;   0.00;   2.75;   9.33;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:32:00;s4hd1prd;30.103;      3;     44;     11;     33;      3;      0;      8;     33;      0;      0;      0;      0;   1.00;   0.00;   3.00;  14.33;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:34:00;s4hd1prd;30.103;      2;     40;      8;     32;      2;      0;      6;     32;      0;      0;      0;      0;   1.00;   0.00;   1.50;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:36:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  11.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:38:00;s4hd1prd;30.103;      2;     22;      5;     17;      2;      0;      4;     17;      0;      0;      0;      0;   1.00;   0.00;   3.33;  13.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:40:00;s4hd1prd;30.103;      2;     41;      9;     32;      2;      0;      7;     32;      0;      0;      0;      0;   1.00;   0.00;   3.25;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:42:00;s4hd1prd;30.103;      1;     19;      4;     15;      1;      0;      3;     15;      0;      0;      0;      0;   1.00;   0.00;   3.00;  15.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:46:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:48:00;s4hd1prd;30.103;      1;      3;      2;      1;      1;      0;      1;      1;      0;      0;      0;      0;   1.00;   0.00;   1.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:52:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:54:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:56:00;s4hd1prd;30.103;      4;     48;     15;     33;      4;      0;     11;     33;      0;      0;      0;      0;   1.00;   0.00;   2.75;   8.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:04:00;s4hd1prd;30.103;      2;     24;      7;     17;      2;      0;      5;     17;      0;      0;      0;      0;   1.00;   0.00;   2.75;  12.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:06:00;s4hd1prd;30.103;      2;     41;      9;     32;      2;      0;      7;     32;      0;      0;      0;      0;   1.00;   0.00;   2.75;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:08:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:10:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:14:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   2.50;   9.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:16:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:18:00;s4hd1prd;30.103;      1;      5;      3;      2;      1;      0;      2;      2;      0;      0;      0;      0;   1.00;   0.00;   1.00;   1.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:24:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.50;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:28:00;s4hd1prd;30.103;      2;     41;      9;     32;      2;      0;      7;     32;      0;      0;      0;      0;   1.00;   0.00;   2.75;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:30:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:32:00;s4hd1prd;30.103;      3;     32;     11;     21;      3;      0;      8;     21;      0;      0;      0;      0;   1.00;   0.00;   3.33;  11.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:34:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.50;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:38:00;s4hd1prd;30.103;      2;     39;      7;     32;      2;      0;      5;     32;      0;      0;      0;      0;   1.00;   0.00;   2.83;  13.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:40:00;s4hd1prd;30.103;      1;     19;      3;     16;      1;      0;      2;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:44:00;s4hd1prd;30.103;      1;      4;      3;      1;      1;      0;      2;      1;      0;      0;      0;      0;   1.00;   0.00;   2.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:48:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:52:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:54:00;s4hd1prd;30.103;      2;     20;      8;     16;      2;      0;      6;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  14.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 08:56:00;s4hd1prd;30.103;      2;     39;      7;     32;      2;      0;      5;     32;      0;      0;      0;      0;   1.00;   0.00;   2.50;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:00:00;s4hd1prd;30.103;      3;     32;     11;     24;      3;      0;      8;     24;      0;      0;      0;      0;   1.00;   0.00;   2.88;   9.55;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:02:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:04:00;s4hd1prd;30.103;      3;     41;      9;     32;      3;      0;      6;     32;      0;      0;      0;      0;   1.00;   0.00;   3.50;  12.83;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:06:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;   5.33;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:08:00;s4hd1prd;30.103;      2;     15;      7;      8;      2;      0;      5;      8;      0;      0;      0;      0;   1.00;   0.00;   2.50;   4.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:10:00;s4hd1prd;30.103;      2;     39;      7;     32;      2;      0;      5;     32;      0;      0;      0;      0;   1.00;   0.00;   2.50;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:12:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:14:00;s4hd1prd;30.103;      2;     34;      8;     26;      2;      0;      6;     26;      0;      0;      0;      0;   1.00;   0.00;   2.33;   4.66;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:16:00;s4hd1prd;30.103;      1;     21;      6;     15;      1;      0;      5;     15;      0;      0;      0;      0;   1.00;   0.00;   3.50;   9.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:18:00;s4hd1prd;30.103;      2;     28;     10;     18;      2;      0;      8;     18;      0;      0;      0;      0;   1.00;   0.00;   2.00;   4.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:20:00;s4hd1prd;30.103;      2;     27;      7;     20;      2;      0;      5;     20;      0;      0;      0;      0;   1.00;   0.00;   2.50;  10.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:22:00;s4hd1prd;30.103;      2;     32;      9;     23;      2;      0;      7;     23;      0;      0;      0;      0;   1.00;   0.00;   3.50;  10.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:24:00;s4hd1prd;30.103;      1;     19;      3;     16;      1;      0;      2;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:26:00;s4hd1prd;30.103;      2;     33;      8;     25;      2;      0;      6;     25;      0;      0;      0;      0;   1.00;   0.00;   2.66;   7.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:28:00;s4hd1prd;30.103;      2;     31;      8;     25;      2;      0;      6;     25;      0;      0;      0;      0;   1.00;   0.00;   2.50;  14.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:30:00;s4hd1prd;30.103;      3;     34;     11;     23;      3;      0;      8;     23;      0;      0;      0;      0;   1.00;   0.00;   2.88;   5.55;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:32:00;s4hd1prd;30.103;      3;     17;     17;      8;      3;      0;     14;      8;      0;      0;      0;      0;   1.00;   0.00;   3.83;   4.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:34:00;s4hd1prd;30.103;      2;     31;     10;     21;      2;      0;      8;     21;      0;      0;      0;      0;   1.00;   0.00;   4.00;  13.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:36:00;s4hd1prd;30.103;      3;     35;     11;     24;      3;      0;      8;     24;      0;      0;      0;      0;   1.00;   0.00;   2.91;  11.75;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:38:00;s4hd1prd;30.103;      2;     32;     10;     22;      2;      0;      8;     22;      0;      0;      0;      0;   1.00;   0.00;   3.50;   7.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:40:00;s4hd1prd;30.103;      5;     42;     18;     24;      5;      0;     13;     24;      0;      0;      0;      0;   1.00;   0.00;   2.20;   4.66;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:42:00;s4hd1prd;30.103;      3;     35;     15;     20;      3;      0;     12;     20;      0;      0;      0;      0;   1.00;   0.00;   3.50;  13.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:44:00;s4hd1prd;30.103;      3;     24;      9;     15;      3;      0;      6;     15;      0;      0;      0;      0;   1.00;   0.00;   2.00;   5.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:46:00;s4hd1prd;30.103;      2;     32;      9;     23;      2;      0;      7;     23;      0;      0;      0;      0;   1.00;   0.00;   3.16;  12.16;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:48:00;s4hd1prd;30.103;      2;     10;      5;      5;      2;      0;      3;      5;      0;      0;      0;      0;   1.00;   0.00;   2.50;   3.75;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:50:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:52:00;s4hd1prd;30.103;      3;     33;     14;     19;      3;      0;     12;     19;      0;      0;      0;      0;   1.00;   0.00;   4.33;   7.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:54:00;s4hd1prd;30.103;      2;     26;     10;     16;      2;      0;      8;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  11.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:56:00;s4hd1prd;30.103;      2;     25;      8;     17;      2;      0;      6;     17;      0;      0;      0;      0;   1.00;   0.00;   2.50;   5.87;   0.00;   0.00;   0.00;   0.00
2021/08/30 09:58:00;s4hd1prd;30.103;      2;     26;      8;     18;      2;      0;      6;     18;      0;      0;      0;      0;   1.00;   0.00;   3.00;   9.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 10:00:00;s4hd1prd;30.103;      1;      4;      3;      1;      1;      0;      2;      1;      0;      0;      0;      0;   1.00;   0.00;   2.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 10:02:00;s4hd1prd;30.103;      2;     21;      6;     15;      2;      0;      4;     15;      0;      0;      0;      0;   1.00;   0.00;   3.00;   8.50;   0.00;   0.00;   0.00;   0.00
